Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880046603779721409e+03,3.665779406244241478e+00
9.880046622339446913e+03,3.665820706185342726e+00
9.880046640899174236e+03,3.665862006292369468e+00
9.880046659458899740e+03,3.665903306557227737e+00
9.880046678018627063e+03,3.665944606988008392e+00
9.880046696578352567e+03,3.665985907576615688e+00
9.880046715138079890e+03,3.666027208331145371e+00
9.880046733697805394e+03,3.666068509243497697e+00
9.880046752257532717e+03,3.666109810321767082e+00
9.880046770817258221e+03,3.666151111557858222e+00
9.880046789376985544e+03,3.666192412959861979e+00
9.880046807936711048e+03,3.666233714519683051e+00
9.880046826496436552e+03,3.666275016241367091e+00
9.880046845056163875e+03,3.666316318128962859e+00
9.880046863615889379e+03,3.666357620174369725e+00
9.880046882175616702e+03,3.666398922385681658e+00
9.880046900735342206e+03,3.666440224754804689e+00
9.880046919295069529e+03,3.666481527289829234e+00
9.880046937854795033e+03,3.666522829982659104e+00
9.880046956414522356e+03,3.666564132841391821e+00
9.880046974974247860e+03,3.666605435857926309e+00
9.880046993533975183e+03,3.666646739040355651e+00
9.880047012093700687e+03,3.666688042380586321e+00
9.880047030653428010e+03,3.666729345886710068e+00
9.880047049213153514e+03,3.666770649550628924e+00
9.880047067772879018e+03,3.666811953376391653e+00
9.880047086332606341e+03,3.666853257368044794e+00
9.880047104892331845e+03,3.666894561517488160e+00
9.880047123452059168e+03,3.666935865832816610e+00
9.880047142011784672e+03,3.666977170305932621e+00
9.880047160571511995e+03,3.667018474944933271e+00
9.880047179131237499e+03,3.667059779741716152e+00
9.880047197690964822e+03,3.667101084704381453e+00
9.880047216250690326e+03,3.667142389824828541e+00
9.880047234810417649e+03,3.667183695111149611e+00
9.880047253370143153e+03,3.667225000555250691e+00
9.880047271929870476e+03,3.667266306165224421e+00
9.880047290489595980e+03,3.667307611932972389e+00
9.880047309049321484e+03,3.667348917862545132e+00
9.880047327609048807e+03,3.667390223957984308e+00
9.880047346168774311e+03,3.667431530211194168e+00
9.880047364728501634e+03,3.667472836630269573e+00
9.880047383288227138e+03,3.667514143207110777e+00
9.880047401847954461e+03,3.667555449949816637e+00
9.880047420407679965e+03,3.667596756850283413e+00
9.880047438967407288e+03,3.667638063916612623e+00
9.880047457527132792e+03,3.667679371140700528e+00
9.880047476086860115e+03,3.667720678530644651e+00
9.880047494646585619e+03,3.667761986078346581e+00
9.880047513206312942e+03,3.667803293791900288e+00
9.880047531766038446e+03,3.667844601663208692e+00
9.880047550325763950e+03,3.667885909696320113e+00
9.880047568885491273e+03,3.667927217895277536e+00
9.880047587445216777e+03,3.667968526251983885e+00
9.880047606004944100e+03,3.668009834774537126e+00
9.880047624564669604e+03,3.668051143454833962e+00
9.880047643124396927e+03,3.668092452300973250e+00
9.880047661684122431e+03,3.668133761304858798e+00
9.880047680243849754e+03,3.668175070474579691e+00
9.880047698803575258e+03,3.668216379802040628e+00
9.880047717363302581e+03,3.668257689295337354e+00
9.880047735923028085e+03,3.668298998946368794e+00
9.880047754482755408e+03,3.668340308763235580e+00
9.880047773042480912e+03,3.668381618737833527e+00
9.880047791602206416e+03,3.668422928874214506e+00
9.880047810161933739e+03,3.668464239176420616e+00
9.880047828721659243e+03,3.668505549636354335e+00
9.880047847281386566e+03,3.668546860262114961e+00
9.880047865841112070e+03,3.668588171045598756e+00
9.880047884400839393e+03,3.668629481994903241e+00
9.880047902960564898e+03,3.668670793101933558e+00
9.880047921520292221e+03,3.668712104374779237e+00
9.880047940080017725e+03,3.668753415805344087e+00
9.880047958639745048e+03,3.668794727401722522e+00
9.880047977199470552e+03,3.668836039155817019e+00
9.880047995759197875e+03,3.668877351075724658e+00
9.880048014318923379e+03,3.668918663153343918e+00
9.880048032878648883e+03,3.668959975392723116e+00
9.880048051438376206e+03,3.669001287797908795e+00
9.880048069998101710e+03,3.669042600360800765e+00
9.880048088557829033e+03,3.669083913089499660e+00
9.880048107117554537e+03,3.669125225975899962e+00
9.880048125677281860e+03,3.669166539028100971e+00
9.880048144237007364e+03,3.669207852238006051e+00
9.880048162796734687e+03,3.669249165613706953e+00
9.880048181356460191e+03,3.669290479147103934e+00
9.880048199916187514e+03,3.669331792846297624e+00
9.880048218475913018e+03,3.669373106703183840e+00
9.880048237035640341e+03,3.669414420725862325e+00
9.880048255595365845e+03,3.669455734906234667e+00
9.880048274155091349e+03,3.669497049248342524e+00
9.880048292714818672e+03,3.669538363756238208e+00
9.880048311274544176e+03,3.669579678421819757e+00
9.880048329834271499e+03,3.669620993253184693e+00
9.880048348393997003e+03,3.669662308242233717e+00
9.880048366953724326e+03,3.669703623397063463e+00
9.880048385513449830e+03,3.669744938709572857e+00
9.880048404073177153e+03,3.669786254187857644e+00
9.880048422632902657e+03,3.669827569823819857e+00
9.880048441192629980e+03,3.669868885625557464e+00
9.880048459752355484e+03,3.669910201584966725e+00
9.880048478312082807e+03,3.669951517710146494e+00
9.880048496871808311e+03,3.669992833993000581e+00
9.880048515431533815e+03,3.670034150437568865e+00
9.880048533991261138e+03,3.670075467047905438e+00
9.880048552550986642e+03,3.670116783815904782e+00
9.880048571110713965e+03,3.670158100749668861e+00
9.880048589670439469e+03,3.670199417841095268e+00
9.880048608230166792e+03,3.670240735098281970e+00
9.880048626789892296e+03,3.670282052513127447e+00
9.880048645349619619e+03,3.670323370093728332e+00
9.880048663909345123e+03,3.670364687831985329e+00
9.880048682469072446e+03,3.670406005735995070e+00
